source,target
Resh_mi19,NA
kpoplov219,NA
wishfulbangtan,NA
daenasp_,NA
ginkgo_biloba19,NA
Naneunainim,NA
jiminsttyles,NA
Jsoleoo,NA
wonderfullyedi,NA
Minieeee10,NA
mysdjz,NA
FARPot7,NA
Everevv,NA
BTSIsMyTaste,NA
putrisabrienaa,NA
_taehyungie_bts,NA
GulvindarS,NA
MPR0DGEE,NA
mysdjz,NA
tavishArmy,NA
yoongi_phils,NA
wabetaernaI,NA
winTAEr__bear,NA
jeonkayee,NA
_taehyungie_bts,NA
em_yna,NA
NS_Musings,NA
colourfulmist,NA
koobbystarcandy,NA
diatannies,NA
kim_lamtae,NA
y00ngdd,NA
maki_12349,NA
hyejubi,NA
TrnPhmKhnhHn1,NA
TIA_BTSARMY,NA
kimseokjinne_,NA
P0SHED,NA
Cessss12344,NA
nradlnkynn,NA
kpop_life7,NA
_taehyungie_bts,NA
yoongiolly,NA
tayade_vidisha,taeslove_07
TinnyRm,NA
parkjiminfanar1,NA
infiniteyellow2,NA
Jsoleoo,NA
Honeytanbang,NA
BTS7PRINT,NA
katejoon01,NA
myloml4,NA
yoonseokjin3,NA
BTS_ilicious007,NA
nradlnkynn,NA
hiphobimine,NA
DomingzMelany,NA
Cake_Waltz,NA
gucciprvdacxmfy,NA
mintaebun,NA
Leejin_Priya,NA
oktaviani_pane,NA
BaisOT7Army,NA
_lilyiris_,NA
wonderfullyedi,NA
alyajalil_,NA
Laura39644610,NA
josh_jid,NA
yoongiyjaz,NA
alyajalil_,NA
bcr0806,NA
yeonjunsbestie_,NA
taeccizshooky,NA
alyajalil_,NA
Meoongi_,NA
Gowri74613622,NA
samia_mss,NA
phemminie,NA
bangtanbunny11,NA
kthjrs,NA
Heyitsm33220754,NA
farahhhhhhhmin_,NA
Taena21772236,NA
ihavenothink123,NA
alyajalil_,NA
nnlz17,NA
_littlerowland,NA
sessik_p,NA
itzedwin20,NA
Aadya88115520,NA
joooniiverse,NA
rgelgaf,NA
JOONIEYO,NA
Neo_jjk,NA
A_R_M_Y_56,NA
Jimin_yougotjam,NA
kim_lamtae,NA
farahhhhhhhmin_,NA
phemminie,NA
n_irdeeeana,NA
bts_lizgalls10,NA
koobbystarcandy,NA
gguksthighhhs,NA
liasshii,NA
ceneashlene,NA
MelileTK,NA
BlackSwan_875,NA
rgelgaf,NA
StReAm_bUtTeR__,NA
A_R_M_Y_56,NA
n_irdeeeana,NA
Priyyaa_23,NA
Kris20384949,NA
13BTS7_ARMY,NA
Bn_psj16,NA
OT7no1HOT100,NA
13BTS7_ARMY,NA
A_R_M_Y_56,NA
ktwredki,NA
Frau_Fluff,NA
Leehyewon_05,NA
cool_storybob,NA
eatachocbrownie,NA
ruhi014928,NA
jmnspark13,NA
NandaSriMulyan2,NA
thetaehoe,NA
StReAm_bUtTeR__,NA
kwxpna,NA
phemminie,NA
MizLicketySplit,NA
jmnspark13,NA
KYoenhae,NA
lovelyzjeon97,NA
StReAm_bUtTeR__,NA
luvtaegigi,NA
letuongkhuyen,NA
kajusa83521119,NA
lovelyzjeon97,NA
asmetheoblivion,NA
Neo_jjk,NA
nshaffika__,NA
StReAm_bUtTeR__,NA
CV41666039,NA
deadofwrite777,NA
amorositae,NA
jeonmanbun,NA
Naneunainim,NA
09_Life_,NA
PriyankaRoberts,NA
snowflakes0613,NA
A_R_M_Y_56,NA
gwenmorgan84,NA
rgelgaf,NA
Tanimin_7,NA
Resilient8511,NA
1108Parkjmn,NA
TaylorownedCxsz,NA
shannoonaa,NA
Ssimp4bp,NA
CV41666039,NA
kajusa83521119,NA
henixdip,NA
BeMielBe,NA
kpop_life7,NA
easyranking_seo,NA
PurpleFish2013,NA
bigsolidone,NA
stobit_t,NA
iamydemonnn,NA
Taena21772236,NA
kim_lamtae,NA
Clownyeondan,BTS_twt
ilovebangtans,NA
lovebangtan_owl,NA
monjinjin,NA
cia_trds,NA
chewwbaccazna,NA
crystaehyung,NA
wandering_fa,NA
uhhoneyboy,NA
doblebunni,NA
matchakookieee,NA
getawaycar_28,NA
lovebangtan_owl,NA
hanbinjjkay,NA
trashaddct,NA
beariemoon,NA
Estepha45926913,NA
teziaazhr,NA
Pushi_yoongi,NA
SayeWithLuv,NA
kyoutohru7,NA
ZhoslavaMM,NA
taeshirttime,NA
poemsforjiminie,NA
thisispattricia,NA
Jinnie29173384,NA
AslheyHernande3,NA
trashaddct,NA
PurpleFish2013,NA
zoomtodebie,NA
btsxheartue,NA
jaykooksimp_,NA
ruhi014928,NA
sunnyvarshini,NA
__Serendiipiity,NA
MahiNabila7,NA
tayade_vidisha,NA
msmaniacmacgee,NA
KookminPh,NA
PreetAhru_INC,NA
syub583,NA
jintaekook182,NA
DTownKing,NA
ShubhraRai18,NA
hobaring99,NA
qisyA___,NA
Neo_jjk,NA
DukesaJeon,NA
jhkook27,NA
komorebidays,NA
JustinS78674681,NA
Kookbaring_97,NA
Nabibamtan,NA
sweet_ex_,NA
dilfplomats,NA
vantejinjinjara,NA
kimtaehyungEL,NA
llustrate,NA
lpjmxx,NA
vantejinjinjara,NA
Iattaekoo,NA
MahiRathore_,NA
BTS_Minat,NA
cloujk_,NA
sunnyvarshini,NA
thisispattricia,NA
KYoenhae,NA
sunnyvarshini,NA
crispppynugget,NA
aegyoonamjoon,NA
vantejinjinjara,NA
kthxprime,NA
Mariiii58036870,NA
sunnyvarshini,NA
karismaaaaa03,NA
BANGTAN71781590,NA
MahiRathore_,NA
JIMINisART,NA
altheaaa_25,NA
achim_0613,NA
minxioomin,NA
___jamaisvu,NA
rizarisarija,NA
Laura39644610,NA
fairytael,NA
queky_,NA
Allison47286271,NA
libertine_ot7,NA
ruhi014928,NA
shnvvii,NA
na_lyra,NA
bangtankoojjk,NA
KimAlpacaJinPy,NA
Shamimaparvin21,NA
btsxmyhope,NA
smelico13,NA
KriedW,NA
l4ssitud3,NA
Lifeisbts6,NA
gaga__v_,NA
youangel_jhope,NA
sunnyvarshini,NA
taeccizshooky,NA
Bb_Jeon_,Bb_Jeon_
emyeshaa,NA
jjjj4rsv,NA
Allison47286271,NA
Bb_Jeon_,Bb_Jeon_
pjmflter_,NA
Mrinmoyee0716,NA
sunnyvarshini,NA
altheaaa_25,NA
hopeseokkkk,NA
msdajazz_chuchu,NA
Allison47286271,NA
MahiRathore_,NA
KuhuThakur11,NA
jjjj4rsv,NA
sunnyvarshini,NA
junghobiness,NA
hobivmon,NA
Tanvi_Shethia,NA
chewinle,NA
sunnyvarshini,NA
Ayoo134340,NA
Aysiahime,NA
jiminbyheart,NA
RDXTRADERS,NA
A_R_M_Y_56,NA
lolalleya,NA
iwasoncetanyaa,NA
somesk__,NA
2seokmin30,NA
BtsZukulentos,NA
etharei,NA
Euphori21709212,NA
tasuk_0721,NA
KookjinJinkook,KookjinJinkook
emyeshaa,NA
kyoutohru7,NA
sosandsan,NA
OurMoonSeokJin,NA
seokjinartx,NA
KookjinJinkook,KookjinJinkook
sarslaybey,NA
pjiminangel,NA
talaga_foe_pq,NA
AbrilBanda6,NA
sugaberryeyes,NA
koobbystarcandy,NA
sunnyvarshini,NA
paydelily,NA
farjukhan,NA
StReAm_bUtTeR__,NA
bloomingdaysss,NA
JIMINisART,NA
llustrate,NA
kweenituuu,NA
Kookbaring_97,NA
sunnyvarshini,NA
bngtansonyonlit,NA
minxioomin,NA
Asv25_,NA
sunshinehobi_4,NA
btsxpinks,NA
lolalleya,NA
Laura39644610,NA
StReAm_bUtTeR__,NA
Anamta9_3,NA
Magdale00741203,NA
jhaicipres31,NA
sunnyvarshini,NA
TFC_PK,NA
FOLINY_ARMY,NA
yangskie,NA
txxixx,NA
SHOOKJIN20,NA
mileMG02,NA
KYoenhae,NA
im_aez,NA
MahiRathore_,NA
HryTweet_,NA
_Whalien_52Hz_,NA
KYoenhae,NA
askydoodles,NA
jiminshilee,NA
AanyaBTS7,NA
03moonchild_,NA
BANGTAN71781590,NA
KYoenhae,NA
cristinamirannd,NA
attackonbangts,NA
minxioomin,NA
DorothyB_98,NA
rexaneee,NA
hanbinjjkay,NA
_Whalien_52Hz_,NA
2seok99,NA
taevoodle,NA
jkehh_,NA
flower_feminist,NA
rexaneee,NA
bngtansonyonlit,NA
aziallejeon,NA
llustrate,NA
yeontannnies,NA
attackonbangts,NA
AsyiqinSakinah,NA
sunnyvarshini,NA
putrisabrienaa,NA
tehbengg,NA
sharmumtaz,NA
fuyujay,NA
Asv25_,NA
_jeongguksluv,NA
mbaaspool,NA
benichuu_,NA
_hobiSHINE_,NA
KYoenhae,NA
Laura39644610,NA
btsxpinks,NA
myfilterjiminie,NA
nobleqoobangtan,NA
LIZ31315593,NA
FarhanaHaque07,NA
atthajinph,NA
bangtansstory,NA
sunnyvarshini,NA
iloveSj861117sj,NA
jjjj4rsv,NA
Saniya71j,NA
llustrate,NA
benichuu_,NA
_7luuu7_,NA
Laura39644610,NA
tetedivinity,NA
ArmyJinJane,NA
Ele66661,NA
CtrlVCtrlJK,NA
JIMINisART,NA
_damnaged_,NA
Yamile99033644,NA
_Whalien_52Hz_,NA
Saniya71j,NA
moon_minka,NA
BiaL42,NA
mbaaspool,NA
adeliamawarni8,NA
Vantae_998,NA
springforseven,NA
Kimsokjing,NA
mosheymoshi,NA
ixiayoyo,NA
itjiko,NA
moxisgirl,NA
Saniya71j,NA
kim_lamtae,NA
eurydice_layla,NA
Saniya71j,NA
thiccbumptae,NA
Sresh96,NA
_fiyy,NA
Gowri74613622,NA
tehbengg,NA
btsxpinks,NA
sunnyvarshini,NA
minipkjimin,NA
heystobitbeech,NA
mbaaspool,NA
DassyOrtiz,NA
sunnyvarshini,NA
little_thunderr,NA
Saniya71j,NA
Prachi_kove12,NA
eclectic_sam,NA
jungoosjawline,NA
aisyahbilal,NA
taebeokkie,NA
_Whalien_52Hz_,NA
Mrinmoyee0716,NA
_Whalien_52Hz_,NA
yoongatito_tom,NA
tete95files,NA
61312H,NA
aisyahbilal,NA
asvielx,NA
hasnaabee,NA
lilsyvla,NA
bangtanbomber,NA
rinrinamy,NA
jiminbyheart,NA
septiyanitha,NA
jungoosjawline,NA
alleyhues0T7,NA
Taehyungist07,NA
Saniya71j,NA
yoonkimin_07,NA
Miranda30101564,NA
_Whalien_52Hz_,NA
taexjoonxhobi,NA
driaxdeej,NA
_M_INK,NA
Scenerybie_,NA
Saniya71j,NA
jungoosjawline,NA
Tarunika18,NA
maryjooniverse,NA
urpromisee,NA
ixeelicious_,NA
kkulsyubie,NA
Anniemae0059,NA
HurtadoBuiza,NA
SoleilAdhara_,NA
kim_lamtae,NA
_Whalien_52Hz_,NA
joon_isGod,NA
urpromisee,NA
shinneyMwaps,NA
Tarunika18,NA
atTAEtudeV,NA
KriedW,NA
TheThingIsBTS7,NA
asvielx,NA
Saniya71j,NA
jazminhazarel,NA
jgktaegi,NA
_Whalien_52Hz_,NA
happyice2002,NA
Jkookies11,NA
Picklejuicetea,NA
Prachi_kove12,NA
Alexa_JK97,NA
_7luuu7_,NA
9930vv,NA
Saniya71j,NA
novembermirror,NA
_Whalien_52Hz_,NA
Salma_R88,NA
Sari_ARMY08,NA
over_thejoon,NA
urgfjia,NA
alluringtaekook,NA
milisblue,NA
FernVaine,NA
hongjoonglaptop,NA
yoonsongrequest,NA
kim_lamtae,NA
_Whalien_52Hz_,NA
FancyUwu3,NA
CEOofBunnies,NA
INFPmode,NA
_Whalien_52Hz_,NA
FancyUwu3,NA
jungoosjawline,NA
SheikhRuhab,NA
jinminbliss,NA
Tarunika18,NA
BTS_PaveDaWae,NA
tasuk_0721,NA
chimxily,NA
kim_lamtae,NA
sangyeojaa,NA
shakirah2335,NA
agustym19,NA
shadowIight,NA
adhiscubee,NA
KimTete__V,NA
shakirah2335,NA
jungoosjawline,NA
Itz_me_JC,NA
_Whalien_52Hz_,NA
joonprogamer,NA
nay_v_,NA
rosandaeka,NA
aoiibean,NA
Sweethearrttttt,NA
Prachi_kove12,NA
btspopdotcom,NA
Saniya71j,NA
111_love_urself,NA
resh_ammu,NA
AdhithiUday,NA
JK00o,NA
kim_lamtae,NA
wtbearv,NA
RianneV_BTS,NA
D2MnSuga,NA
yoonkimin_07,NA
_maknaetae,NA
mxjkkmain,NA
jhaicipres31,NA
jungoosjawline,NA
ferdunno,NA
Saniya71j,NA
VinMin_,NA
chimchikook,NA
cheetoageh,NA
D2MnSuga,NA
Bb_Jeon_,Bb_Jeon_
nay_v_,NA
koobbystarcandy,NA
nrhnahmra,NA
ApekshaVerma10,NA
Saniya71j,NA
chipsahhoy_,NA
_Whalien_52Hz_,NA
alleyhues0T7,NA
111_love_urself,NA
bangtan_1hot100,NA
StefanniNarra2,NA
_Whalien_52Hz_,NA
jhaicipres31,NA
bibaii,NA
baddbadbyee,NA
DontCallMe_Stef,NA
Saniya71j,NA
_mkayem,NA
Jiniejje,NA
sUgaRpLuM6_1,instagram
JEJEARMY10,NA
juegaizuku,NA
arnicatolerant,NA
nay_v_,NA
taetaebias4,NA
_Whalien_52Hz_,NA
jazminhazarel,NA
zxcvbnkka,NA
amorfatietlux,NA
chaydine_cheysi,NA
JustinS78674681,NA
AwJimena,NA
Hanam951,NA
tlkngttwall,NA
Hopeisntover,NA
D2MnSuga,NA
_Whalien_52Hz_,NA
PrincessParcon2,NA
111_love_urself,NA
HilmaJjh15,NA
Saniya71j,NA
hasnaabee,NA
hayatariffin,NA
taetaebias4,NA
LJhanys,NA
AgoncilloBiya,NA
Tulip19670802,NA
Aadya88115520,NA
GRLXVS,NA
Anniemae0059,NA
BTBTBTS_armyami,NA
kjooning,NA
_Whalien_52Hz_,NA
MizLicketySplit,NA
111_love_urself,NA
HilmaJjh15,NA
hphungkc,NA
sleepyshooky_zz,NA
_Whalien_52Hz_,NA
thvtaetae,NA
koobbystarcandy,NA
Creature1025,NA
lei_with_luv,NA
_Whalien_52Hz_,NA
alleyhues0T7,NA
AwJimena,NA
D2MnSuga,NA
Ot7Israel,NA
sky_mcielo27,NA
aquanamu16,NA
PRITI1302,NA
_Whalien_52Hz_,NA
Poojati88445475,NA
111_love_urself,NA
bbshkld,NA
_Whalien_52Hz_,NA
TannieCupcake7,NA
Puja996,NA
hobiiniee,NA
ttaebokkie,NA
blushlnie,NA
dccn31,NA
itsnxna,NA
hasnaabee,NA
_Whalien_52Hz_,NA
yoongi00yeonjun,NA
alleyhues0T7,NA
blushlnie,NA
mariajonaho,NA
soft_fia1,NA
blushlnie,NA
_Whalien_52Hz_,NA
MyGalaxy_7,NA
blushlnie,NA
wndyfletchr,NA
Army7Bae,NA
EvieBeanBot,NA
soft_fia1,NA
Mariade26333033,NA
liambearhug,NA
sweee04,NA
BTSSSforever,NA
blushlnie,NA
soft_fia1,NA
alleyhues0T7,NA
111_love_urself,NA
blushlnie,NA
ManishaSamal16,NA
ughsugar,NA
Fairyfresh4223,NA
_Whalien_52Hz_,NA
yoongidoremi,NA
adobubble,NA
blushlnie,NA
AwonAmlex,NA
PRITI1302,NA
blushlnie,NA
Genesis88222377,NA
blushlnie,NA
GeniusMYlab28,NA
cosmogyrallx,NA
yeetedracer,NA
Hopeworldblues,NA
BTS_girl_ot7,NA
fan_compas_Gaby,NA
kimituli,NA
blushlnie,NA
ttannies7,NA
ILOVETAEHYUNGY,NA
blushlnie,NA
taereomcflurry,NA
sftbrries,NA
Sappho67791183,NA
blushlnie,NA
ManishaSamal16,NA
Anamta9_3,NA
sofia_thelast,NA
blushlnie,NA
Sourav09837593,NA
xtyriz89,NA
Namtiddies69_,NA
blushlnie,NA
Bts_army311,NA
blushlnie,NA
kamal_0x1134340,NA
MRAMSTPDCB,NA
taetaebias4,NA
blushlnie,NA
thiccccthor,NA
blushlnie,NA
poootattoo,NA
LiliArm45191017,NA
ManishaSamal16,NA
whaleinpurple,NA
jiminieyouth,NA
aniahyen,NA
Army7Bae,NA
SUGAmahSUGA,NA
nanareums,NA
AShipper7,NA
alyaerafezs,NA
thiccccthor,NA
EramSheikh17,NA
AngieSo22522632,NA
nanauyukook,NA
idkwhoimeither,NA
an__kth,NA
sKILUe123,NA
PRITI1302,NA
Igmyeong_twts,NA
Bb_Jeon_,Bb_Jeon_
libertine_ot7,NA
MINIM0NIK0YA,NA
Bb_Jeon_,Bb_Jeon_
njfao_stan,NA
wndyfletchr,NA
thiccccthor,NA
dare_views,NA
OSTbyViscoming,NA
AngieSo22522632,NA
shehatesssyou,NA
V_Paul16,NA
AlyaNuralya12,NA
samiasalam_ami,NA
N0BARAKUGlSAKl,NA
resh_ammu,NA
SunShinE_Meee,NA
AShipper7,NA
shookymic,NA
ReeARMY7,NA
Ami_20050127,NA
eternalbts07,NA
_Whalien_52Hz_,NA
Eesha_Shah21,NA
Hihobi13,NA
taetae_Vante7,NA
NabilaHarianas5,NA
ManishaSamal16,NA
Kamiliacabello,NA
tirednessmoon,NA
blushlnie,NA
ymhoba,NA
kthnta_,NA
pikapikapika29,NA
MoonRespectMei,NA
HobiHobitoo,NA
primmfaktor95,NA
gladscoups,NA
AngieSo22522632,NA
_mahnoorasif_,NA
monomingguk,NA
Lem4ldupays,NA
NabilaHarianas5,NA
BangtanMaenad,NA
_Whalien_52Hz_,NA
hobimanas,NA
Sumbul_01Fatima,NA
ManishaSamal16,NA
an__kth,NA
k_mochixx,NA
Avani01650497,NA
_Whalien_52Hz_,NA
ezkthvVv,NA
AngieSo22522632,NA
elia_azzahraA,NA
LiliArm45191017,NA
pookguk,NA
blushlnie,NA
Dreamglow20,NA
bbblobesbabes,NA
jiminshilee,NA
ilyysimjaeyun,NA
thenelliecolina,NA
jeonscar7,NA
_Whalien_52Hz_,NA
Avani01650497,NA
Ami_20050127,NA
Sumbul_01Fatima,NA
AngieSo22522632,NA
Amberella1990,NA
_Whalien_52Hz_,NA
Jkookies11,NA
btsvkookjinn,NA
pina_manno,NA
koobbystarcandy,NA
DanielA95896285,NA
kukooeee,NA
_Whalien_52Hz_,NA
xvirginial,NA
PraptiTasnim,NA
AziahAli2,NA
11396Bina,NA
ILOVETAEHYUNGY,NA
thenelliecolina,NA
Amberella1990,NA
taehyuniiiie,NA
taetaebeaarr,NA
peachylaaaaa,NA
mikhvs_,NA
namuplanet,NA
BTSJIN08,NA
_mahnoorasif_,NA
jazztine_mae,NA
koobi_moonshine,NA
Fairyfresh4223,NA
nikol_rr_,NA
Cinlte_,NA
11396Bina,NA
SH_btskz_23,NA
brimyg,NA
leslie141099,NA
Taetae_xxd,NA
_Whalien_52Hz_,NA
shruthi3588,NA
kweenituuu,NA
bts_wonder_07,NA
luvbangtanx,NA
bangtanlsamo,NA
geonuskies,NA
MutahiraT,NA
all4jkeons,NA
smolggoogie,NA
AngieSo22522632,NA
ManishaSamal16,NA
abyss7_,NA
jimminjams,NA
teyvatgf,NA
atzimpact,NA
koobbystarcandy,NA
Anousha57520820,NA
blueandgrey6,NA
nicollebbh_,NA
AngieSo22522632,NA
peterp4n3,NA
gentlegukk,NA
an__kth,NA
bts_army_light,NA
tirednessmoon,NA
koobi_moonshine,NA
Anniemae0059,NA
k_mochixx,NA
h4kuna_m4tatah,NA
HbJannia,NA
atzimpact,NA
Laura39644610,NA
Jmgettinpraised,NA
_Whalien_52Hz_,NA
jiminbyheart,NA
koobi_moonshine,NA
ftihaaje,NA
k_mochixx,NA
tirednessmoon,NA
koobbystarcandy,NA
LumbeniP,NA
Viridianagg_,NA
Mammadli12,NA
thiccccthor,NA
an__kth,NA
h4kuna_m4tatah,NA
nicollebbh_,NA
_Whalien_52Hz_,NA
kianaserrano31,NA
sugasjoonie,NA
_Whalien_52Hz_,NA
thiccccthor,NA
UthmaanKaranie,NA
Kimsparkler7,NA
Safhiracandraa,NA
SorenSristi,NA
peachylaaaaa,NA
atzimpact,NA
IParkxox,NA
vantekookie7,NA
jjksonyeondan,NA
tresha1994,NA
iiADONISii,NA
LumbeniP,NA
_Whalien_52Hz_,NA
amiriegocityx,NA
Anamta9_3,NA
chuuvex,NA
_Whalien_52Hz_,NA
tasuk_0721,NA
Ibbo65041864,NA
Sorayah1940,NA
__v__junior,NA
tirednessmoon,NA
heejj0ng,NA
Sandylora6,NA
Anamta9_3,NA
Joooooaannnnn,NA
Sritae5,NA
notjulybutjune,NA
nixssiiimp,NA
yourskimchy,NA
agst_myg,NA
JasmineCleofe,NA
btsbreakers,NA
falleminieee,NA
illegirl_imnida,NA
ilyysimjaeyun,NA
sotiredofppll,NA
ilyysimjaeyun,NA
_Girl_dreaming,NA
soft_fia1,NA
shabana_javaid,NA
ilyysimjaeyun,NA
brimyg,NA
clau_1329,NA
thiccccthor,NA
stuckwithyoutan,NA
Shaheen09815483,NA
TheintTheintZu1,NA
jiminxseri,NA
notjulybutjune,NA
ManishaSamal16,NA
_Whalien_52Hz_,NA
ilyysimjaeyun,NA
chuuvex,NA
_Whalien_52Hz_,NA
agst_myg,NA
ilyysimjaeyun,NA
Arrmyy_,NA
Sonal82434648,NA
Veronika_Arg_JM,NA
jiminmlk,NA
akunsuci76,NA
jaysoaresb,NA
Veronika_Arg_JM,NA
_x_anakha_x_,NA
whitesuga_14,NA
tapdatbangtan,NA
OK_LUV_BTS,NA
_Whalien_52Hz_,NA
yoomyeuphoria,NA
Athulya83849736,NA
vantekookie7,NA
tirednessmoon,NA
koobbystarcandy,NA
brimyg,NA
ilyysimjaeyun,NA
Jkbest8yeaha,NA
sribangtan7,NA
hobiandpandas,NA
boooglefangirl,NA
kthrevenge,NA
ilyysimjaeyun,NA
_Whalien_52Hz_,NA
shookykookies,NA
Veronika_Arg_JM,NA
BabeWithLuv,NA
mytae4ever,NA
_YOUniverse613,NA
daniza_t,NA
OK_LUV_BTS,NA
OST7_13170810,NA
ilyysimjaeyun,NA
Laura39644610,NA
anlzyng,NA
Vanesminie,NA
NaomyGrame,NA
ilyysimjaeyun,NA
galaxyofb07,NA
sanji0003,NA
_ggukpeupeu,NA
minmin_swg,NA
Laura39644610,NA
OK_LUV_BTS,NA
Sritae5,NA
newy8rk,NA
ilyysimjaeyun,NA
_YOUniverse613,NA
moggyyg,NA
juhirhnnh,NA
ilyysimjaeyun,NA
Ibrahim85601612,NA
Vanesminie,NA
ilyysimjaeyun,NA
Alejand62627912,NA
_Whalien_52Hz_,NA
Laura39644610,NA
LilyPut39268660,NA
shookoo75462500,NA
mochim_1298,NA
ilyysimjaeyun,NA
_Solo_Gawl8248,NA
akishiyeon,NA
KatePaglinawa11,NA
Sresh96,NA
Laura39644610,NA
basopakemangkok,NA
chuuvex,NA
xmochikate,NA
jinhitwins,NA
clau_1329,NA
Amana_Aleemath,NA
_Whalien_52Hz_,NA
ilyysimjaeyun,NA
jinmagicshop12,NA
SMutumz,NA
imjk55572979,NA
chuuvex,NA
vantekookie7,NA
_Whalien_52Hz_,NA
CalicoKat_2123,NA
miiycoco,NA
ilyysimjaeyun,NA
Sritae5,NA
palmy1006,NA
_Whalien_52Hz_,NA
AfreenS93811154,NA
dapufan,NA
Sasha51515Sasha,NA
OK_LUV_BTS,NA
Bb_Jeon_,Bb_Jeon_
rmsvhopminjkin,NA
_Whalien_52Hz_,NA
__hyunjoons,NA
rmdrafts,NA
Bb_Jeon_,Bb_Jeon_
rimi_013,NA
artmusic_be,NA
floralhoseok,NA
hiboucha17,NA
Fairyfresh4223,NA
BenjMoon,NA
luckyyanaa,NA
svnlghts,NA
sowoozoojoon,NA
LumbeniP,NA
varun143_army,NA
JamylaRivera,NA
l7verss,NA
97ztear,NA
svnlghts,NA
TROSbangtan,NA
rjthbags_,NA
Chimjiminkookie,NA
KY_BTS_KY,NA
mollycia1915,NA
Ibbo65041864,NA
Reeethh,NA
stfuviie,NA
cloudicitii,NA
Ot7_Btluvs,NA
clau_1329,NA
Sasha51515Sasha,NA
darinamgi,NA
7780yy,NA
Joooooaannnnn,NA
kthvvsoul,NA
loaarmy,NA
nurinninsyirah,NA
JamylaRivera,NA
BTS_girl_ot7,NA
koocerezita,NA
Sasha51515Sasha,NA
namuplanet,NA
_meku__,NA
maki_12349,NA
illiemsna,NA
peachy_beex,NA
Sritae5,NA
shrfhnurhdzln,NA
koocerezita,NA
BenjMoon,NA
Kate56874283,NA
svnlghts,NA
wishingbang,NA
MoonArcher20,NA
OyukiAbel,NA
hobi_vkook_love,NA
S0urabhsharmaa,NA
kalatniriyann,NA
Nam4president00,NA
BenjMoon,NA
amani_j97,NA
Mrinmoyee0716,NA
BTS_Is_Quotable,NA
nathofstyles,NA
Ms_kdgz,NA
pratibhamulewa,NA
fitznamu,NA
namastaehyung,NA
Reeethh,NA
ddeokjwini,NA
BenjMoon,NA
ukthiiyoongist,NA
LifegoesOn742,NA
Akshara79015676,NA
nojamstae_,NA
chuuvex,NA
kth_lore,NA
7Support24,NA
strugglesforbts,NA
Joooooaannnnn,NA
im_illumiseven,NA
kooagustdt,NA
Gabby_abbyyy,NA
_nadeela,NA
JamylaRivera,NA
VerylliumV,NA
bonsaibrei,NA
hyyhpt23,NA
moonchildxever,NA
meowkvs,NA
nojamstae_,NA
nikkiangeleeee,NA
almonds_99,NA
NurulAi67174448,NA
bcr0806,NA
Avajeon1997,NA
sonnygl0w,NA
Akshara79015676,NA
sarahaebts,NA
kalatniriyann,NA
namelessanyt,NA
illegirl_panda,NA
IParkxox,NA
2018_lumi,NA
Vivy26089632,NA
namelessanyt,NA
izyan_twt,NA
_srijani07_,NA
poetryofhobi,NA
_srijani07_,NA
r0ckbison,NA
r000o000oooo,NA
twiter_rran,NA
aaaaaarmmyyyyy,NA
BTSTWTJK_,NA
softiejjn,NA
GiyaniXArcade,NA
moonligktae,NA
PRPLSquirrellet,NA
Ariel_Btsarmy,NA
floweryvtae,NA
abby7_be,NA
BTSARMY20994504,NA
r0ckbison,NA
Jeonlamia_Ssum4,NA
thirstaesoul,NA
ashlovesbangtan,NA
hm_nettielopez,NA
syasya_mustaffa,NA
areumfatima123,NA
KeeshYoongi,NA
btsinsta_7,NA
akirma_,NA
kookssoulmate01,NA
r0ckbison,NA
wiminung,NA
gvnrsh_a,NA
lilrunchranda,NA
btsforever0213,btsforever0213
kshiningbreeze,NA
Bangtandaph,NA
yOuGoTn34379725,NA
Sresh96,NA
HappysoulSeetha,NA
outro_wonder,NA
sarekings,NA
softiejjn,NA
ZannatunNazifa,NA
jeonwwh,NA
yoonsgouache,NA
ChhablaniBobby,NA
chuuvex,NA
singulary_v,NA
MahaRasheed96,NA
yangmikaelson,NA
yOuGoTn34379725,NA
Rose16_16,NA
Madhurikim,NA
Gayu0077,NA
zrr_kth,NA
SwethaRS8,NA
minhouria,NA
KkTalkies,NA
nay_v_,NA
nay_v_,NA
outro_wonder,NA
MahaRasheed96,NA
Mochi15600074,NA
minxhns,NA
indomyxBTS,NA
taesdeepvoice_,NA
bangtanlete,NA
soboksob0k,NA
kim_2seok,NA
_Whalien_52Hz_,NA
babymochii_03,NA
guccitaehyungg,NA
adorbstannies,NA
NAESUGAKOOKIES,NA
Sreethikabts,NA
kthlevanter,NA
_Heaven_TH,NA
barangkikay,NA
Minerva24_,NA
7_1306,NA
bangtantrees,NA
seokjinbiasgirl,NA
AfreenS93811154,NA
bamie_inthesoop,NA
J_MeeO,NA
_Whalien_52Hz_,NA
nurdini_anuar,NA
uhddaeng,NA
chuuvex,NA
Shammi_Shashi,NA
yoonsgouache,NA
khushboobakshi8,NA
dimpi_iiiii,NA
btsforever0213,NA
7Btsmyuniverse,NA
AfreenS93811154,NA
Kthxjm,NA
An_isnotcool,NA
Ibbo65041864,NA
BTS_TWT_JIMIIN,NA
GetClassMonitor,NA
Riegofeliciaa,NA
dimpi_iiiii,NA
FreePandaHugs,NA
Sreethikabts,NA
koobbystarcandy,NA
nojamstae_,NA
SmithsWriters,NA
_taetaeluvs_xx,NA
_brighthobi,NA
