source,target
chrishtaee,NA
ImJHopeBias_,NA
Mathewscj2,alluarjunholic_
preasia_wilfred,NA
fraahanii,NA
iyezhcHHJ04,NA
AndSPRYTE,NA
JasmineBajwa15,NA
Vslovelyjubbly,NA
fraahanii,NA
Moonriver15619,NA
0cabdb1f192241d,NA
ImJHopeBias_,NA
UnkreativXY,NA
agitegemeaux18,NA
Mathewscj2,SatyaGrahii
the_goldboots,NA
bangwoolatiny,NA
fraahanii,NA
strawferries,NA
JasmineBajwa15,NA
preasia_wilfred,NA
jaidifirst,NA
bulletproofHOYA,NA
JasmineBajwa15,NA
MinMeowShipda,NA
kstarworld100,NA
BTSARMY_QCPH,NA
onlybtsonlyarmy,NA
Mathewscj2,Ramakri27788038
gfV69963825,NA
dreamglow_13,NA
jjeonuqi_,BTS_twt
SamikshaGuptaSG,NA
gguk_WithYou,NA
preasia_wilfred,NA
chrishtaee,NA
silentxview,NA
Mathewscj2,varunteja446
tayade_vidisha,NA
Joonisworld7,NA
fraahanii,NA
shipuppyn_g,NA
fruityvity,NA
GL0SSYOONGI,NA
chrishtaee,NA
moon7jinnie,NA
_jiminiepaboo,NA
boopknj,NA
Mathewscj2,Subhash_JSP
vamihob18,NA
KDe_epsilon,NA
kstarworld100,NA
Nat18037840,NA
Joonisworld7,NA
BTSxheart,NA
zaynjinmin,NA
maxmedo6,NA
JasmineBajwa15,NA
fraahanii,NA
angeacsacaa,NA
CorvinousAlex,NA
medzie7,NA
MinMeowShipda,NA
2s3u0f9i0y5aAES,NA
littaeluvv,NA
Mathewscj2,MaheshBabuDHF6
smileehoyaa_,NA
Sanjana09819182,NA
SamikshaGuptaSG,NA
boopknj,NA
PrincessParcon2,NA
taeillovecat,NA
0613P0P,NA
alyajalil_,NA
haisovi,NA
JasmineBajwa15,NA
yoongaboo,NA
rajeycytyx,NA
shipuppyn_g,NA
accOT7forev,NA
JasmineBajwa15,NA
Roxyca_,NA
HobiGlitter,NA
VminBTS11706176,NA
borahaenika,NA
fraahanii,NA
Mathewscj2,NA
MinMeowShipda,NA
thisiskmt0313,NA
Corpses_Catgirl,NA
kstarworld100,NA
AnneJoedie,NA
BeTelepathy_,NA
JasmineBajwa15,NA
cryingforjmjk,NA
byemiraa,NA
erickashtle,NA
naciexx,NA
SuperChamchinie,NA
fraahanii,NA
its_gxyle,NA
Joonisworld7,NA
boopknj,NA
kstarworld100,NA
cthyab_,NA
jvenvenn,NA
hrts4namjoon,NA
JasmineBajwa15,NA
3jnyht,NA
Laura39644610,NA
jvenvenn,NA
yustisiakoo,NA
lucky_lazy_lad,NA
Laura39644610,NA
PyngropeDoryne,NA
JjinSunnie,NA
shipuppyn_g,NA
7_samsans,NA
Light32739540,NA
Milagro54102766,NA
Laura39644610,NA
tae_shoshi,NA
alyajalil_,NA
mimitia1,NA
fookin_avocadoh,NA
JasmineBajwa15,NA
TaediB,NA
sundy_16,NA
Sirilad_06,NA
koosBoyf,NA
eternallittle7,NA
guy4mKnp,NA
Ximena_CerM,NA
personaworId,NA
HobiLeos_diary,NA
mrhni_e,NA
2s3u0f9i0y5aAES,NA
Heidy11240708,NA
Jendeukberry,NA
Joonisworld7,NA
tayade_vidisha,NA
angeacsacaa,NA
Daechwita1992,NA
meiihanxue,NA
AgoncilloBiya,NA
Laura39644610,NA
taescutecheeks,NA
boopknj,NA
jhe_laiii,NA
moonchild8493,NA
_borahebangtan,NA
Light32739540,NA
atiny_is_atiny,NA
nanah_vts,nanah_vts
nitagusthv,NA
lovebymehedi,NA
wd_jaykayyy,NA
Rheninee,NA
Guada_lu7,NA
Laura39644610,NA
Joonisworld7,NA
abyzaidi20,NA
issadreamer21,NA
jamaisvucityx,NA
Qiwawa_BtsArmy,NA
wd_jaykayyy,NA
nnxpjilstrii,NA
Dany54663889,NA
InspiredsoulAJ,NA
hyyhfl,NA
LittleNedrane,NA
mejoy_0103,NA
Ximena_CerM,NA
Nthejinmoon,NA
Laura39644610,NA
joon_isGod,NA
winterconverse,NA
MsMaple,NA
jvenvenn,NA
nitagusthv,NA
Laura39644610,NA
ZubairBazila,NA
Dany54663889,NA
7ovebts_,NA
Joonisworld7,NA
V_Bonobonoya07,NA
besty99127,NA
btsluv9705,NA
moon7jinnie,NA
btsmyhopeee,NA
Joonisworld7,NA
yoonginaranjta,NA
EimyNoemi11,NA
Laura39644610,NA
loeysplace,NA
RupkathaGhosh5,NA
kstarworld100,NA
ShambhaviMeh,NA
wd_jaykayyy,NA
GabrielaReymun3,NA
V_Bonobonoya07,NA
minieBTS4ever,NA
Laura39644610,NA
Tetebiased3,NA
streambtssongs,NA
Jagdish12474996,NA
vrobelek7,NA
justakpopstan77,BTS_twt
LglRdr,NA
kstarworld100,NA
Nat18037840,NA
7_purple_wings,NA
btsallformore,NA
tayade_vidisha,NA
V_Bonobonoya07,NA
VMahalKKyDaily,NA
wd_jaykayyy,NA
zhongl1sm,NA
NeonaPriv,NA
Mystique0203,NA
lilfunkandsoul7,NA
manharleen,NA
Laura39644610,NA
RajesworiParida,NA
rafiqxahmad,NA
BTS_SUPERMACY13,NA
wanningba0bei,NA
akhiiraaa,NA
wd_jaykayyy,NA
more5miles,NA
imaham1512,NA
rjmontefalco15,NA
JinHitRising,NA
purplewhaleu,NA
xmintyoongi,NA
jksweezs,NA
dulce_venus_,NA
7_purple_wings,NA
ktsquirrel_,NA
arciel_imagogin,NA
Snowflakemonst1,NA
homshii,NA
tamaralobo_,NA
7smoons,NA
BetsaFd,NA
jksweezs,NA
beemyjoonie,NA
ggukiekookie21,NA
pepe_hemam,NA
rjmontefalco15,NA
xmintyoongi,NA
BhavishaDudhar1,NA
sssyyidd,NA
wd_jaykayyy,NA
Ot7_BTS_Fam,NA
VanyVMoon,NA
jksweezs,NA
ktsquirrel_,NA
Carlav2005,NA
14Melophile,NA
xmintyoongi,NA
Clownyeondan,NA
AnneJoedie,NA
tihaniyy,NA
wd_jaykayyy,NA
Ruwyns,NA
7_purple_wings,NA
abyzaidi20,NA
jikoocasita,NA
imaham1512,NA
imjk55572979,NA
shikha10479959,NA
Joonisworld7,NA
more5miles,NA
jumpfireidol,NA
BhavishaDudhar1,NA
ARMY_pikachu_,NA
wd_jaykayyy,NA
rijul_20,NA
Ompeng,NA
wd_jaykayyy,NA
kthali_9597,NA
angeljminpark,NA
hopeyain,NA
janvii2802,NA
zurarozes,NA
ARMY_pikachu_,NA
Peace_Deprived,NA
wd_jaykayyy,NA
_HRamn,NA
P0SHED,NA
MapOfEmag,NA
2s3u0f9i0y5aAES,NA
___btswithluv,NA
BetsaFd,NA
Joonisworld7,NA
be_purplesoul,NA
jeonshalaaa,NA
Milryrusso_2,NA
jjxngkxxkcart__,NA
wd_jaykayyy,NA
goldieehellfis1,NA
Andini60775498,NA
eclipse_mingguk,NA
tihaniyy,NA
Fanstygirl1,NA
elly__Darling,NA
gatovangogh,NA
be_purplesoul,NA
wd_jaykayyy,NA
manharleen,NA
Butterflyy_786,BTS_twt
Manmohan300,NA
Annemsmb,NA
btsdimples_,NA
Rashmi94425075,NA
wd_jaykayyy,NA
P0SHED,NA
angeljminpark,NA
Joonisworld7,NA
rockwkooz,NA
AyushiPreyasi,NA
jimini_mango,NA
yuuu858476795,NA
Laura39644610,NA
jxv_oii,NA
wd_jaykayyy,NA
sya_isme,NA
AsthaSh77461022,NA
wd_jaykayyy,NA
lushcioseu,NA
HobiGlitter,NA
Joshyyy017,NA
raylacute,NA
magicshop_7_,NA
sugasarap,NA
Laura39644610,NA
Laura39644610,NA
GaimeeGirl,NA
PookieCm,NA
ParkJeon_26,NA
Sakshi85255632,NA
Moonriver15619,NA
AparnaP56626497,NA
wd_jaykayyy,NA
Kjungse13,NA
staywitharmybts,NA
Laura39644610,NA
EimyNoemi11,NA
jvenvenn,NA
Liz13bts1,NA
Laura39644610,NA
yoonius93,NA
imaham1512,NA
Bangtannie_1306,NA
theia_00,NA
Monochiii,NA
taekook1230911,NA
sal_nika,NA
Antukitoo,NA
lilianamrv,NA
Laura39644610,NA
jkoobii_,NA
ARMY_pikachu_,NA
seokjinlovesrj,NA
pamela_merino9,NA
foryou__bts,NA
ARMY_pikachu_,NA
Laura39644610,NA
Bangtannie_1306,NA
Tanzila69626246,NA
indrifitria_07,NA
sugaft_hoshi,NA
Laura39644610,NA
__panicoo,NA
HuacoYasuri,NA
sherkey,NA
SiempreYoongi,NA
Fatymac130613,NA
july_era,NA
abyzaidi20,NA
Bangtannie_1306,NA
ivyparkbuys,NA
Laura39644610,NA
JessicaNg2506,NA
AnayatH49101523,NA
dnamin20,NA
ineverletugo,NA
jungvax,NA
Fatymac130613,NA
caru_su,NA
JcCeanC,NA
ohmondiablo,NA
Yaz00575437,NA
sherkey,NA
AdriSowoozoo,NA
MimMoontaha,NA
Yaz00575437,NA
MariaLeyli1,NA
StanJJK1,NA
Laura39644610,NA
Laura39644610,NA
JcCeanC,NA
gucciitaebear,NA
mystery_bangtan,NA
thetaekoo,NA
Gioekbangtan,NA
shookymic,NA
Seven_Eternal_7,NA
AnayatH49101523,NA
celinele0,NA
Mary55651,NA
30_vaish,NA
Bangtannie_1306,NA
Laura39644610,NA
KaleshVaishali,NA
OLLGum2,NA
Nyx_MiMi,NA
italian_fernweh,NA
da_namjoon1,NA
luvwilmon,NA
chrishtaee,NA
Jin_is_my_Moon,BTS_twt
P0SHED,NA
__panicoo,NA
Bangtannie_1306,NA
mg_mxss,NA
miniminimc,NA
rockwkooz,NA
30_vaish,NA
AcesG2d,NA
Laiiiiiii7,NA
30_vaish,NA
Qiwawa_BtsArmy,NA
Bangtannie_1306,NA
jec_rose,NA
Bb_Jeon_,Bb_Jeon_
KaleshVaishali,NA
Laura39644610,NA
wd_jaykayyy,NA
qwertybunny__,NA
_maeignacio,NA
jen_nas8,NA
joons_cactus,NA
manharleen,NA
Angel54631006,NA
jjjtyns,NA
SutapaB11536650,NA
joya109,NA
lovebymehedi,NA
Bb_Jeon_,NA
snsa92,NA
noaaaana,NA
hyyhmoonlight,NA
goldenbisexual,NA
jec_rose,NA
jjjtyns,NA
MDii0309,NA
jec_rose,NA
CFCisthebesttt,NA
btsparkjimin_27,btsparkjimin_27
Laura39644610,NA
jrslne,NA
almochilala,NA
luvtayriana,NA
Love79726734,NA
Leska2802,NA
taetaejawline,NA
Laura39644610,NA
goldenbisexual,NA
sheloveander,NA
jjjtyns,NA
Leska2802,NA
Leska2802,NA
_S1R21,NA
alan_sxftt,NA
Yenni5683,NA
damyaf495,NA
pikaaalipa,pikaaalipa
PD2Y5X4kkMP8Bhe,NA
Laura39644610,NA
ash_devi24,NA
AgoncilloBiya,NA
Laura39644610,NA
wanhus_,NA
armyeurofan,NA
nimij1310,NA
ixeelicious_,NA
jjjtyns,NA
got7JayB_,NA
mk_kooki28,NA
Ojasweee,NA
Love79726734,NA
seketulcajaa,NA
Laura39644610,NA
Ot7Nsyjjtj13,NA
simpinwitch,NA
_imthearmy,NA
xufuheng_,NA
sfiasyaa,NA
kth_lore,NA
kooffacha,NA
KalakritThe,NA
SiempreYoongi,NA
kim_lamtae,NA
ghof_rain,NA
ruthsmeraldo,NA
jjjtyns,NA
gfV69963825,NA
SiempreYoongi,NA
P0SHED,NA
koocomong,NA
atiny_is_atiny,NA
kooffacha,NA
smclmly,NA
ruthsmeraldo,NA
kooffacha,NA
luvrbeomm,NA
ChuuJk_159n,NA
sherkey,NA
KookJun13,NA
JK_Borahaee,NA
Fairyfresh4223,NA
Ot7_BTS_Fam,NA
Gurpreet483kaur,NA
P0SHED,NA
lovevnotu,NA
Ompeng,NA
kvjcart,NA
win9lessangel,NA
srinidhib2004,NA
sheloveander,NA
FarahRiko,NA
ruthsmeraldo,NA
noone_clan,NA
SwweetPotato,NA
Laura39644610,NA
EvelynG56052962,NA
ChuuJk_159n,NA
Laura39644610,NA
abyzaidi20,NA
123Sancharii,NA
brookIynbangtan,NA
Priyyaa_23,NA
yoongisease,NA
Laura39644610,NA
jakewonjin,NA
Peace_Deprived,NA
abyzaidi20,NA
AcesG2d,NA
xtae_jk,NA
JBJossi,NA
bangtan_fiz,NA
di10ysus,NA
shhdhh_,NA
vutuanh13,NA
whitejasmine12,NA
EvelynG56052962,NA
btsmagicdoor,NA
snsa92,NA
ruthsmeraldo,NA
Laura39644610,NA
TaylorownedCxsz,NA
zchartv,NA
13BTS7_ARMY,NA
ruthsmeraldo,NA
AkariKunitake,NA
pettyispettyy,NA
Laura39644610,NA
AngieLBBH13,NA
riamandal2505,NA
nradlnkynn,NA
JUMPINGHOPE,NA
MrsChimchim13,NA
bublyjoon,NA
hhyunjiina,NA
wwatforever,NA
AlmaCazares2,NA
13BTS7_ARMY,NA
bublyjoon,NA
Junshan9,NA
abyzaidi20,NA
Laura39644610,NA
louderthanBang,NA
ruthsmeraldo,NA
nradlnkynn,NA
Laura39644610,NA
13BTS7_ARMY,NA
wwatforever,NA
ritukhangori,NA
xxJungkook_97xx,NA
ChaWonTaePavBen,NA
Nela71150282,NA
htownarmy12,NA
neahhhq,NA
AngieLBBH13,NA
annyoongi_,NA
13BTS7_ARMY,NA
memoriesby_bts,NA
val_crab,NA
hyunte_,NA
Sahra1236,BTSChartDailyx
jooniiscrab,NA
JBJossi,NA
iwonhie,NA
vutuanh13,NA
kookinfinitae,NA
_jpurple7,NA
como_regina,NA
Nela71150282,NA
Laura39644610,NA
hyunte_,NA
jungIibiIIi,NA
STAnn75,NA
1lma0o,NA
P0SHED,NA
xxJungkook_97xx,NA
Brrasae,NA
ishuthegreat,NA
taerrie_chxvz,NA
como_regina,NA
JBJossi,NA
pearl_ktbspa,NA
DmartzGabyboo,NA
Laura39644610,NA
vantejinjinjara,NA
M4y_ari,NA
jhnnylatte,NA
13BTS7_ARMY,NA
ectopluka,NA
4RIKOOK,NA
anileise,NA
moon_star617,NA
mk_twtt,NA
nanah_vts,nanah_vts
Golu5231,NA
tae_twtk,NA
PrincessParcon2,NA
lespect07,NA
nam_giseok,NA
kookiejeons_,NA
ayame_matsumura,NA
BTSareON,NA
jinecstasy_,NA
luvekooo,NA
Laura39644610,NA
jksgxdy,NA
kkulsyubie,NA
Amuraovonn,NA
Brisaram0s,NA
szafflunBelle,NA
headbandsuga,NA
Amuraovonn,NA
097alice,NA
imaham1512,NA
RabiaAqsa,NA
sunkissjm,NA
bonobonoya_s,NA
como_regina,NA
marianghelika,NA
PrincessParcon2,NA
jhnnylatte,NA
cozwhalien52,NA
MiaMia04779993,NA
queenxalia,NA
P0SHED,NA
wheeipped,NA
Laura39644610,NA
minnottaken,NA
telep6tia,NA
zepphyr3800,NA
Amuraovonn,NA
jyjminhojay,NA
13BTS7_ARMY,NA
alyzrseee,NA
jhnnylatte,NA
ayame_matsumura,NA
Yoongi_twt52,NA
_Siya7_,NA
lagiperbaikan,NA
tae_shez,NA
Tannie1325,NA
13BTS7_ARMY,NA
_cmllgllts_,NA
_maknaetae,NA
ayame_matsumura,NA
ZueRojas,NA
YenibethCastil2,NA
vintxgember,NA
jungkookie_0903,NA
PLUTOBG,NA
TaehyungOnDurag,NA
Laura39644610,NA
Yoongi_twt52,NA
Lizbethism,NA
MediocreMind4,NA
_maknaetae,NA
P0SHED,NA
lxwallsh,NA
13BTS7_ARMY,NA
Laura39644610,NA
thisispattricia,NA
CatchersDream_7,NA
jungkookie_0903,NA
Likum_16,NA
shikha10479959,NA
13BTS7_ARMY,NA
_maknaetae,NA
mylilyoonmin,NA
Laura39644610,NA
kaygxc,NA
SlLVERKTH,NA
ParkJiminssi143,NA
P0SHED,NA
jungkookie_0903,NA
YenibethCastil2,NA
Nela71150282,NA
Fieeeyjk,NA
Ot7Dee,NA
bangtanniesph,NA
Laura39644610,NA
nicolexswift,NA
AMELIAknj,NA
SnowyDollGirl,NA
minitamii,NA
kookiejeon___,NA
SnowyDollGirl,NA
Mathewscj2,NA
DilnaMuhammad,NA
pnxolingay,NA
AihlaSsi,NA
_Bangtan_Heart,NA
roshnabts,NA
IziRodriguez2,NA
AuroraH2826,NA
pnxolingay,NA
Virgo242000,NA
SnowyDollGirl,NA
Laura39644610,NA
_jeongguksluv,NA
Ompeng,NA
taehY_Yi9taehy,NA
henixdip,NA
minitamii,NA
jungkookie_0903,NA
archivesformyg_,NA
ZueRojas,NA
STAnn75,NA
taehY_Yi9taehy,NA
bts_lizgalls10,NA
deemalharbi13,NA
Nat_751306,NA
Mehakgul_,NA
_imthearmy,NA
taehY_Yi9taehy,NA
angi25love,NA
IziRodriguez2,NA
Omya5755,NA
joymin_95,NA
Seven_Eternal_7,NA
taehY_Yi9taehy,NA
Sahra1236,likechizu
Laura39644610,NA
Nat_751306,NA
keshii_V,NA
Coral_F74,NA
farjukhan,NA
taehY_Yi9taehy,NA
radiantgirl,NA
jungkookie_0903,NA
P0SHED,NA
tasuk_0721,NA
Jagdish12474996,NA
juleee_122,NA
em_eternally7,NA
mehrozkhalid13,NA
NamjooniesQueen,NA
Laura39644610,NA
